source,track,domain,system_id,rag_method,embedding_model,generator_model,judge_model,questions,pass_rate,answer_correctness,evidence_recall,context_precision,citation_validity,no_answer_hallucination_rate,calculation_pass_rate,readiness_score,status,status_ko,blocking_issues,guidance,guidance_ko
benchmark,end-to-end,finance,dense-vector,dense-vector,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.2894736842105263,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,dense-vector,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.2894736842105263,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,dense-vector,dense-vector,finance-e5-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.2894736842105263,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,hybrid-rerank,hybrid-rerank,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.2894736842105263,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,hybrid-rerank,hybrid-rerank,e5-large-v2-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.2894736842105263,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,hybrid-rerank,hybrid-rerank,finance-e5-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.2894736842105263,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.25,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,pageindex-oss,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.25,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,pageindex-oss,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,exact-match-gold,19,0.8947368421052632,0.8947368421052632,1.0,0.25,0.8947368421052632,0.0,0.6666666666666667,0.8918421052631579,pilot_candidate,파일럿 후보,citation_validity,Close to production; review citation_validity before rollout.,운영 후보에 가깝지만 인용 정확도를 먼저 점검해야 합니다.
benchmark,end-to-end,finance,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.2763157894736842,0.8421052631578947,0.0,0.6666666666666667,0.8515789473684209,not_ready,운영 전 개선 필요,citation_validity,Do not use as production default yet; improve citation_validity first.,아직 운영 기본값으로 쓰기 어렵습니다. 먼저 인용 정확도를 개선해야 합니다.
benchmark,end-to-end,finance,hybrid,hybrid,e5-large-v2-proxy,reasoning-oss-llm,exact-match-gold,19,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.2763157894736842,0.8421052631578947,0.0,0.6666666666666667,0.8515789473684209,not_ready,운영 전 개선 필요,citation_validity,Do not use as production default yet; improve citation_validity first.,아직 운영 기본값으로 쓰기 어렵습니다. 먼저 인용 정확도를 개선해야 합니다.
benchmark,end-to-end,finance,hybrid,hybrid,finance-e5-proxy,reasoning-oss-llm,exact-match-gold,19,0.7894736842105263,0.7894736842105263,0.8947368421052632,0.2631578947368421,0.7894736842105263,0.0,0.6666666666666667,0.8113157894736842,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, citation_validity","Do not use as production default yet; improve pass_rate, answer_correctness, citation_validity first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 인용 정확도를 개선해야 합니다."
benchmark,end-to-end,finance,dense-vector,dense-vector,bge-m3-proxy,balanced-oss-llm,exact-match-gold,19,0.736842105263158,0.7368421052631579,1.0,0.2894736842105263,0.7368421052631579,0.0,0.0,0.7046052631578947,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, citation_validity","Do not use as production default yet; improve pass_rate, answer_correctness, citation_validity first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 인용 정확도를 개선해야 합니다."
benchmark,end-to-end,finance,dense-vector,dense-vector,e5-large-v2-proxy,balanced-oss-llm,exact-match-gold,19,0.736842105263158,0.7368421052631579,1.0,0.2894736842105263,0.7368421052631579,0.0,0.0,0.7046052631578947,not_ready,운영 전 개선 필요,"pass_rate, answer_correctness, citation_validity","Do not use as production default yet; improve pass_rate, answer_correctness, citation_validity first.","아직 운영 기본값으로 쓰기 어렵습니다. 먼저 전체 통과율, 답변 정확도, 인용 정확도를 개선해야 합니다."
