eval_id,track,domain,category,question_id,system_id,rag_method,embedding_model,generator_model,judge_model,success,score,latency_ms,estimated_cost,answer_correctness,evidence_recall,context_precision,citation_validity,abstention_correctness,failure_type,failed_assertions
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,direct_lookup,fin_direct_revenue,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,0.00010818,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,direct_lookup,fin_direct_revenue,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,5.9800000000000003e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,direct_lookup,fin_direct_revenue,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,5.994e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,fin_table_net_debt,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,6.255e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,fin_table_net_debt,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,6.11e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,fin_table_net_debt,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,0.00011326000000000001,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,calculation,fin_calculation_roa,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,5.305e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,calculation,fin_calculation_roa,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,5.3280000000000005e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,calculation,fin_calculation_roa,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,0.00010879999999999999,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_section_ebitda,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,0.888888888888889,59.0,5.2470000000000004e-05,1.0,1.0,0.3333333333333333,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_section_ebitda,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.888888888888889,59.0,5.2600000000000005e-05,1.0,1.0,0.3333333333333333,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_section_ebitda,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,0.00011763999999999999,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,multi_section,fin_multi_growth_compare,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,0.9166666666666666,59.0,6.857e-05,1.0,1.0,0.5,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,multi_section,fin_multi_growth_compare,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.9166666666666666,59.0,0.00011981,1.0,1.0,0.5,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,multi_section,fin_multi_growth_compare,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.9166666666666666,59.0,6.877000000000001e-05,1.0,1.0,0.5,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,no_answer,fin_no_answer_dividend,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,1.0,59.0,6.252e-05,1.0,1.0,0.0,1.0,1.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,no_answer,fin_no_answer_dividend,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,1.0,59.0,6.27e-05,1.0,1.0,0.0,1.0,1.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,no_answer,fin_no_answer_dividend,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,1.0,59.0,0.00011598000000000001,1.0,1.0,0.0,1.0,1.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,fin_semantic_capex,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,False,0.16666666666666666,58.0,2.336e-05,0.0,0.0,0.0,0.0,0.0,retrieval_miss,"answer_correctness,evidence_recall,context_precision,citation_validity,failure_free"
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,fin_semantic_capex,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.888888888888889,59.0,2.801e-05,1.0,1.0,0.3333333333333333,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,fin_semantic_capex,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,9.473000000000001e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_title_covenant_ratio,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,4.3009999999999996e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_title_covenant_ratio,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,4.317e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_title_covenant_ratio,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,True,0.875,59.0,9.925e-05,1.0,1.0,0.25,1.0,0.0,,
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_backlog_obligations,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,False,0.3888888888888889,59.0,3.1310000000000003e-05,0.0,1.0,0.3333333333333333,0.0,0.0,context_bloat,"answer_correctness,citation_validity,failure_free"
eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,fin_backlog_obligations,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,False,0.16666666666666666,58.0,2.336e-05,0.0,0.0,0.0,0.0,0.0,retrieval_miss,"answer_correctness,evidence_recall,context_precision,citation_validity,failure_free"
